program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.003201072,0.003201072,0,"0,1,2,3"
prio,0,0.003465617,0.003465617,0,"0,1,2,3"
baseline,1,0.003243303,0.003243303,0,"0,1,2,3"
prio,1,0.003456873,0.003456873,0,"0,1,2,3"
baseline,2,0.002976823,0.002976823,0,"0,1,2,3"
prio,2,0.002939504,0.002939504,0,"0,1,2,3"
baseline,3,0.003086967,0.003086967,0,"0,1,2,3"
prio,3,0.003069633,0.003069633,0,"0,1,2,3"
baseline,4,0.003583511,0.003583511,0,"0,1,2,3"
prio,4,0.002836282,0.002836282,0,"0,1,2,3"
