program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.676739021,2.676739021,0,"0,1,2,3"
prio,0,1.891386293,1.891386293,0,"0,1,2,3"
baseline,1,2.821145668,2.821145668,0,"0,1,2,3"
prio,1,1.879937087,1.879937087,0,"0,1,2,3"
baseline,2,2.721166895,2.721166895,0,"0,1,2,3"
prio,2,1.854974355,1.854974355,0,"0,1,2,3"
baseline,3,3.150877453,3.150877453,0,"0,1,2,3"
prio,3,1.989427040,1.989427040,0,"0,1,2,3"
baseline,4,2.988283239,2.988283239,0,"0,1,2,3"
prio,4,2.259220754,2.259220754,0,"0,1,2,3"
