program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,5.324000000,5.326616441,1,"0,1,2,3"
prio,0,4.828000000,4.830818281,1,"0,1,2,3"
baseline,1,5.289000000,5.291779788,1,"0,1,2,3"
prio,1,4.829000000,4.831895152,1,"0,1,2,3"
baseline,2,5.224000000,5.226680860,1,"0,1,2,3"
prio,2,4.813000000,4.815958055,1,"0,1,2,3"
baseline,3,5.000000000,5.002848895,1,"0,1,2,3"
prio,3,4.813000000,4.816115699,1,"0,1,2,3"
baseline,4,5.232000000,5.235041454,1,"0,1,2,3"
prio,4,4.824000000,4.827274262,1,"0,1,2,3"
baseline,5,5.166000000,5.169322277,1,"0,1,2,3"
prio,5,4.799000000,4.802917818,1,"0,1,2,3"
baseline,6,5.159000000,5.162183908,1,"0,1,2,3"
prio,6,4.811000000,4.813796691,1,"0,1,2,3"
baseline,7,5.145000000,5.147355630,1,"0,1,2,3"
prio,7,4.815000000,4.818148088,1,"0,1,2,3"
baseline,8,5.316000000,5.319398450,1,"0,1,2,3"
prio,8,4.813000000,4.815702776,1,"0,1,2,3"
baseline,9,5.291000000,5.294282819,1,"0,1,2,3"
prio,9,4.835000000,4.837984087,1,"0,1,2,3"
baseline,10,5.264000000,5.267494076,1,"0,1,2,3"
prio,10,4.822000000,4.824711266,1,"0,1,2,3"
baseline,11,5.287000000,5.289878527,1,"0,1,2,3"
prio,11,4.785000000,4.787822759,1,"0,1,2,3"
baseline,12,5.122000000,5.124696346,1,"0,1,2,3"
prio,12,4.817000000,4.820469352,1,"0,1,2,3"
baseline,13,5.242000000,5.244876653,1,"0,1,2,3"
prio,13,4.826000000,4.828650137,1,"0,1,2,3"
baseline,14,5.257000000,5.260160351,1,"0,1,2,3"
prio,14,4.783000000,4.785911396,1,"0,1,2,3"
baseline,15,5.259000000,5.262215697,1,"0,1,2,3"
prio,15,4.811000000,4.813865788,1,"0,1,2,3"
baseline,16,5.256000000,5.259053150,1,"0,1,2,3"
prio,16,4.816000000,4.819218661,1,"0,1,2,3"
baseline,17,5.195000000,5.197760583,1,"0,1,2,3"
prio,17,4.798000000,4.801320048,1,"0,1,2,3"
baseline,18,5.206000000,5.208492062,1,"0,1,2,3"
prio,18,4.845000000,4.847788878,1,"0,1,2,3"
baseline,19,5.161000000,5.163585155,1,"0,1,2,3"
prio,19,4.862000000,4.864661531,1,"0,1,2,3"
baseline,20,5.273000000,5.275925658,1,"0,1,2,3"
prio,20,4.793000000,4.795740416,1,"0,1,2,3"
baseline,21,5.296000000,5.299226562,1,"0,1,2,3"
prio,21,4.850000000,4.852515182,1,"0,1,2,3"
baseline,22,5.184000000,5.187387906,1,"0,1,2,3"
prio,22,4.814000000,4.817407335,1,"0,1,2,3"
baseline,23,5.214000000,5.217136016,1,"0,1,2,3"
prio,23,4.849000000,4.852118087,1,"0,1,2,3"
baseline,24,5.221000000,5.224050884,1,"0,1,2,3"
prio,24,4.804000000,4.807364475,1,"0,1,2,3"
baseline,25,5.262000000,5.265232881,1,"0,1,2,3"
prio,25,4.834000000,4.837465258,1,"0,1,2,3"
baseline,26,5.266000000,5.268851025,1,"0,1,2,3"
prio,26,4.807000000,4.810271814,1,"0,1,2,3"
baseline,27,5.190000000,5.192861223,1,"0,1,2,3"
prio,27,4.907000000,4.910439113,1,"0,1,2,3"
baseline,28,5.233000000,5.235742486,1,"0,1,2,3"
prio,28,4.849000000,4.851961206,1,"0,1,2,3"
