program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
prio,46,19.203275311,19.203275311,0,"0,1,2,3"
baseline,47,24.457581504,24.457581504,0,"0,1,2,3"
prio,47,19.274829244,19.274829244,0,"0,1,2,3"
baseline,48,24.510796812,24.510796812,0,"0,1,2,3"
prio,48,19.171696989,19.171696989,0,"0,1,2,3"
baseline,49,22.126569778,22.126569778,0,"0,1,2,3"
prio,49,19.262240174,19.262240174,0,"0,1,2,3"
baseline,50,25.849254310,25.849254310,0,"0,1,2,3"
prio,50,19.203176917,19.203176917,0,"0,1,2,3"
baseline,51,24.933904998,24.933904998,0,"0,1,2,3"
prio,51,19.178618965,19.178618965,0,"0,1,2,3"
baseline,52,24.555600632,24.555600632,0,"0,1,2,3"
prio,52,19.244418723,19.244418723,0,"0,1,2,3"
baseline,53,24.523168592,24.523168592,0,"0,1,2,3"
prio,53,19.214745596,19.214745596,0,"0,1,2,3"
baseline,54,25.165170963,25.165170963,0,"0,1,2,3"
prio,54,19.277751452,19.277751452,0,"0,1,2,3"
baseline,55,26.029913762,26.029913762,0,"0,1,2,3"
prio,55,19.184579015,19.184579015,0,"0,1,2,3"
baseline,56,24.888095785,24.888095785,0,"0,1,2,3"
prio,56,19.196588525,19.196588525,0,"0,1,2,3"
baseline,57,25.982004991,25.982004991,0,"0,1,2,3"
prio,57,19.220576811,19.220576811,0,"0,1,2,3"
baseline,58,26.140907341,26.140907341,0,"0,1,2,3"
prio,58,19.270165852,19.270165852,0,"0,1,2,3"
baseline,59,23.098656341,23.098656341,0,"0,1,2,3"
prio,59,19.230347921,19.230347921,0,"0,1,2,3"
baseline,60,24.563289134,24.563289134,0,"0,1,2,3"
prio,60,19.185572485,19.185572485,0,"0,1,2,3"
baseline,61,25.982348433,25.982348433,0,"0,1,2,3"
prio,61,19.283977385,19.283977385,0,"0,1,2,3"
baseline,62,26.316556958,26.316556958,0,"0,1,2,3"
prio,62,19.208111055,19.208111055,0,"0,1,2,3"
baseline,63,26.433636643,26.433636643,0,"0,1,2,3"
prio,63,19.195951188,19.195951188,0,"0,1,2,3"
baseline,64,23.167520276,23.167520276,0,"0,1,2,3"
prio,64,19.277053679,19.277053679,0,"0,1,2,3"
baseline,65,25.026669686,25.026669686,0,"0,1,2,3"
prio,65,19.129249617,19.129249617,0,"0,1,2,3"
baseline,66,26.189379328,26.189379328,0,"0,1,2,3"
prio,66,19.233263872,19.233263872,0,"0,1,2,3"
baseline,67,26.265443729,26.265443729,0,"0,1,2,3"
prio,67,19.210097155,19.210097155,0,"0,1,2,3"
baseline,68,22.836226701,22.836226701,0,"0,1,2,3"
prio,68,19.214984083,19.214984083,0,"0,1,2,3"
baseline,69,25.894563976,25.894563976,0,"0,1,2,3"
prio,69,19.256216443,19.256216443,0,"0,1,2,3"
baseline,70,26.253834628,26.253834628,0,"0,1,2,3"
prio,70,19.220858597,19.220858597,0,"0,1,2,3"
baseline,71,24.729441883,24.729441883,0,"0,1,2,3"
prio,71,19.210805689,19.210805689,0,"0,1,2,3"
baseline,72,24.865551720,24.865551720,0,"0,1,2,3"
prio,72,19.155488155,19.155488155,0,"0,1,2,3"
baseline,73,26.046230986,26.046230986,0,"0,1,2,3"
prio,73,19.275076095,19.275076095,0,"0,1,2,3"
baseline,74,26.060860591,26.060860591,0,"0,1,2,3"
prio,74,19.235099734,19.235099734,0,"0,1,2,3"
baseline,75,26.076058502,26.076058502,0,"0,1,2,3"
prio,75,19.186807385,19.186807385,0,"0,1,2,3"
baseline,76,25.415447702,25.415447702,0,"0,1,2,3"
prio,76,19.169895637,19.169895637,0,"0,1,2,3"
baseline,77,26.071545907,26.071545907,0,"0,1,2,3"
prio,77,19.218915922,19.218915922,0,"0,1,2,3"
baseline,78,26.028125811,26.028125811,0,"0,1,2,3"
prio,78,19.203949507,19.203949507,0,"0,1,2,3"
baseline,79,24.241651100,24.241651100,0,"0,1,2,3"
prio,79,19.268098369,19.268098369,0,"0,1,2,3"
baseline,80,26.026440994,26.026440994,0,"0,1,2,3"
prio,80,19.223015557,19.223015557,0,"0,1,2,3"
baseline,81,23.254482061,23.254482061,0,"0,1,2,3"
prio,81,19.207429655,19.207429655,0,"0,1,2,3"
baseline,82,26.189805702,26.189805702,0,"0,1,2,3"
prio,82,19.290352237,19.290352237,0,"0,1,2,3"
baseline,83,22.904069849,22.904069849,0,"0,1,2,3"
prio,83,19.219298228,19.219298228,0,"0,1,2,3"
baseline,84,26.088918648,26.088918648,0,"0,1,2,3"
prio,84,19.197279415,19.197279415,0,"0,1,2,3"
baseline,85,25.759428312,25.759428312,0,"0,1,2,3"
prio,85,19.303600153,19.303600153,0,"0,1,2,3"
baseline,86,26.169812007,26.169812007,0,"0,1,2,3"
prio,86,19.206043929,19.206043929,0,"0,1,2,3"
baseline,87,24.460780264,24.460780264,0,"0,1,2,3"
prio,87,19.282878114,19.282878114,0,"0,1,2,3"
baseline,88,24.413107192,24.413107192,0,"0,1,2,3"
prio,88,19.287694297,19.287694297,0,"0,1,2,3"
baseline,89,26.212086642,26.212086642,0,"0,1,2,3"
prio,89,19.227706790,19.227706790,0,"0,1,2,3"
baseline,90,26.082083289,26.082083289,0,"0,1,2,3"
prio,90,19.232145176,19.232145176,0,"0,1,2,3"
baseline,91,26.245740979,26.245740979,0,"0,1,2,3"
prio,91,19.212622377,19.212622377,0,"0,1,2,3"
baseline,92,25.877532237,25.877532237,0,"0,1,2,3"
prio,92,19.258776774,19.258776774,0,"0,1,2,3"
baseline,93,26.193568356,26.193568356,0,"0,1,2,3"
prio,93,19.207794287,19.207794287,0,"0,1,2,3"
baseline,94,26.143829373,26.143829373,0,"0,1,2,3"
prio,94,19.273338297,19.273338297,0,"0,1,2,3"
baseline,95,26.178498756,26.178498756,0,"0,1,2,3"
prio,95,19.238743842,19.238743842,0,"0,1,2,3"
baseline,96,25.764443654,25.764443654,0,"0,1,2,3"
prio,96,19.166861298,19.166861298,0,"0,1,2,3"
baseline,97,23.966922183,23.966922183,0,"0,1,2,3"
prio,97,19.170681106,19.170681106,0,"0,1,2,3"
baseline,98,25.585016942,25.585016942,0,"0,1,2,3"
prio,98,19.170877690,19.170877690,0,"0,1,2,3"
baseline,99,25.825045714,25.825045714,0,"0,1,2,3"
prio,99,19.479041439,19.479041439,0,"0,1,2,3"
