program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,4.546140531,4.546140531,0,"0,1,2,3"
prio,0,3.071820682,3.071820682,0,"0,1,2,3"
baseline,1,4.504500963,4.504500963,0,"0,1,2,3"
prio,1,3.068163724,3.068163724,0,"0,1,2,3"
baseline,2,4.466913219,4.466913219,0,"0,1,2,3"
prio,2,3.071136463,3.071136463,0,"0,1,2,3"
baseline,3,4.478512954,4.478512954,0,"0,1,2,3"
prio,3,3.201138291,3.201138291,0,"0,1,2,3"
baseline,4,4.515676161,4.515676161,0,"0,1,2,3"
prio,4,3.358636095,3.358636095,0,"0,1,2,3"
baseline,5,4.482614363,4.482614363,0,"0,1,2,3"
prio,5,3.294088603,3.294088603,0,"0,1,2,3"
baseline,6,4.489838996,4.489838996,0,"0,1,2,3"
prio,6,3.256820531,3.256820531,0,"0,1,2,3"
baseline,7,4.491156563,4.491156563,0,"0,1,2,3"
prio,7,3.463075701,3.463075701,0,"0,1,2,3"
baseline,8,4.514606723,4.514606723,0,"0,1,2,3"
prio,8,3.070889929,3.070889929,0,"0,1,2,3"
baseline,9,4.508904951,4.508904951,0,"0,1,2,3"
prio,9,3.076397020,3.076397020,0,"0,1,2,3"
baseline,10,4.479464208,4.479464208,0,"0,1,2,3"
prio,10,3.158213901,3.158213901,0,"0,1,2,3"
baseline,11,4.529325818,4.529325818,0,"0,1,2,3"
prio,11,3.163517931,3.163517931,0,"0,1,2,3"
baseline,12,4.482608727,4.482608727,0,"0,1,2,3"
prio,12,3.072927344,3.072927344,0,"0,1,2,3"
baseline,13,4.433324510,4.433324510,0,"0,1,2,3"
prio,13,3.273970538,3.273970538,0,"0,1,2,3"
baseline,14,4.511323221,4.511323221,0,"0,1,2,3"
prio,14,3.073631629,3.073631629,0,"0,1,2,3"
baseline,15,4.484660580,4.484660580,0,"0,1,2,3"
prio,15,3.077651086,3.077651086,0,"0,1,2,3"
baseline,16,4.445082641,4.445082641,0,"0,1,2,3"
prio,16,3.190036271,3.190036271,0,"0,1,2,3"
baseline,17,4.434368914,4.434368914,0,"0,1,2,3"
prio,17,3.086208515,3.086208515,0,"0,1,2,3"
baseline,18,4.511447865,4.511447865,0,"0,1,2,3"
prio,18,3.075298527,3.075298527,0,"0,1,2,3"
baseline,19,4.433337875,4.433337875,0,"0,1,2,3"
prio,19,3.393646531,3.393646531,0,"0,1,2,3"
baseline,20,4.522187464,4.522187464,0,"0,1,2,3"
prio,20,3.083942208,3.083942208,0,"0,1,2,3"
baseline,21,4.438183809,4.438183809,0,"0,1,2,3"
prio,21,3.272120355,3.272120355,0,"0,1,2,3"
baseline,22,4.492030395,4.492030395,0,"0,1,2,3"
prio,22,3.209562786,3.209562786,0,"0,1,2,3"
baseline,23,4.476035537,4.476035537,0,"0,1,2,3"
prio,23,3.236245030,3.236245030,0,"0,1,2,3"
baseline,24,4.471966821,4.471966821,0,"0,1,2,3"
prio,24,3.071995162,3.071995162,0,"0,1,2,3"
baseline,25,4.458301099,4.458301099,0,"0,1,2,3"
prio,25,3.234202095,3.234202095,0,"0,1,2,3"
baseline,26,4.434593761,4.434593761,0,"0,1,2,3"
prio,26,3.128504904,3.128504904,0,"0,1,2,3"
baseline,27,4.399931886,4.399931886,0,"0,1,2,3"
prio,27,3.072599398,3.072599398,0,"0,1,2,3"
baseline,28,4.459508480,4.459508480,0,"0,1,2,3"
prio,28,3.093068770,3.093068770,0,"0,1,2,3"
baseline,29,4.510702142,4.510702142,0,"0,1,2,3"
prio,29,3.072948837,3.072948837,0,"0,1,2,3"
baseline,30,4.470219168,4.470219168,0,"0,1,2,3"
prio,30,3.079050743,3.079050743,0,"0,1,2,3"
baseline,31,4.427417848,4.427417848,0,"0,1,2,3"
prio,31,3.081188312,3.081188312,0,"0,1,2,3"
baseline,32,4.431664188,4.431664188,0,"0,1,2,3"
prio,32,3.075884882,3.075884882,0,"0,1,2,3"
baseline,33,4.448737941,4.448737941,0,"0,1,2,3"
prio,33,3.187890026,3.187890026,0,"0,1,2,3"
baseline,34,4.499240438,4.499240438,0,"0,1,2,3"
prio,34,3.248302304,3.248302304,0,"0,1,2,3"
baseline,35,4.463231618,4.463231618,0,"0,1,2,3"
prio,35,3.075732947,3.075732947,0,"0,1,2,3"
baseline,36,4.504704953,4.504704953,0,"0,1,2,3"
prio,36,3.079822552,3.079822552,0,"0,1,2,3"
baseline,37,4.448519114,4.448519114,0,"0,1,2,3"
prio,37,3.074239305,3.074239305,0,"0,1,2,3"
baseline,38,4.459706656,4.459706656,0,"0,1,2,3"
prio,38,3.378853515,3.378853515,0,"0,1,2,3"
baseline,39,4.518865452,4.518865452,0,"0,1,2,3"
prio,39,3.083895764,3.083895764,0,"0,1,2,3"
baseline,40,4.531126722,4.531126722,0,"0,1,2,3"
prio,40,3.093930638,3.093930638,0,"0,1,2,3"
baseline,41,4.472613476,4.472613476,0,"0,1,2,3"
prio,41,3.077631192,3.077631192,0,"0,1,2,3"
baseline,42,4.430131326,4.430131326,0,"0,1,2,3"
prio,42,3.412903462,3.412903462,0,"0,1,2,3"
baseline,43,4.495179232,4.495179232,0,"0,1,2,3"
prio,43,3.639740864,3.639740864,0,"0,1,2,3"
baseline,44,4.506355552,4.506355552,0,"0,1,2,3"
prio,44,3.076446046,3.076446046,0,"0,1,2,3"
baseline,45,4.487084631,4.487084631,0,"0,1,2,3"
prio,45,3.077776906,3.077776906,0,"0,1,2,3"
baseline,46,4.367382507,4.367382507,0,"0,1,2,3"
prio,46,3.077100767,3.077100767,0,"0,1,2,3"
baseline,47,4.475413917,4.475413917,0,"0,1,2,3"
prio,47,3.076453798,3.076453798,0,"0,1,2,3"
