program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.003309398,0.003309398,0,"0,1,2,3"
prio,0,0.003705371,0.003705371,0,"0,1,2,3"
baseline,1,0.003304429,0.003304429,0,"0,1,2,3"
prio,1,0.003552271,0.003552271,0,"0,1,2,3"
baseline,2,0.003180171,0.003180171,0,"0,1,2,3"
prio,2,0.003163832,0.003163832,0,"0,1,2,3"
baseline,3,0.003280041,0.003280041,0,"0,1,2,3"
prio,3,0.004116139,0.004116139,0,"0,1,2,3"
baseline,4,0.003315385,0.003315385,0,"0,1,2,3"
prio,4,0.003590303,0.003590303,0,"0,1,2,3"
