program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.003545834,0.003545834,0,"0,1,2,3"
prio,0,0.003248138,0.003248138,0,"0,1,2,3"
baseline,1,0.003644307,0.003644307,0,"0,1,2,3"
prio,1,0.003813805,0.003813805,0,"0,1,2,3"
baseline,2,0.003055204,0.003055204,0,"0,1,2,3"
prio,2,0.002913959,0.002913959,0,"0,1,2,3"
baseline,3,0.002830198,0.002830198,0,"0,1,2,3"
prio,3,0.003482083,0.003482083,0,"0,1,2,3"
baseline,4,0.003158904,0.003158904,0,"0,1,2,3"
prio,4,0.003496630,0.003496630,0,"0,1,2,3"
