program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,6.305925628,6.305925628,0,"0,1,2,3"
prio,0,4.442379514,4.442379514,0,"0,1,2,3"
baseline,1,6.330038240,6.330038240,0,"0,1,2,3"
prio,1,4.336318135,4.336318135,0,"0,1,2,3"
baseline,2,6.243704814,6.243704814,0,"0,1,2,3"
prio,2,4.431214919,4.431214919,0,"0,1,2,3"
baseline,3,6.238672261,6.238672261,0,"0,1,2,3"
prio,3,4.322718225,4.322718225,0,"0,1,2,3"
baseline,4,6.251710699,6.251710699,0,"0,1,2,3"
prio,4,4.523977270,4.523977270,0,"0,1,2,3"
baseline,5,6.267860720,6.267860720,0,"0,1,2,3"
prio,5,4.786210512,4.786210512,0,"0,1,2,3"
baseline,6,6.278893020,6.278893020,0,"0,1,2,3"
prio,6,4.605402521,4.605402521,0,"0,1,2,3"
baseline,7,6.297211891,6.297211891,0,"0,1,2,3"
prio,7,4.509370582,4.509370582,0,"0,1,2,3"
baseline,8,6.335785313,6.335785313,0,"0,1,2,3"
prio,8,4.373241804,4.373241804,0,"0,1,2,3"
baseline,9,6.261951392,6.261951392,0,"0,1,2,3"
prio,9,4.322030748,4.322030748,0,"0,1,2,3"
baseline,10,6.335654310,6.335654310,0,"0,1,2,3"
prio,10,4.322020539,4.322020539,0,"0,1,2,3"
baseline,11,6.214353893,6.214353893,0,"0,1,2,3"
prio,11,4.322968190,4.322968190,0,"0,1,2,3"
baseline,12,6.233540496,6.233540496,0,"0,1,2,3"
prio,12,4.808957129,4.808957129,0,"0,1,2,3"
baseline,13,6.304234207,6.304234207,0,"0,1,2,3"
prio,13,4.736839089,4.736839089,0,"0,1,2,3"
baseline,14,6.316051777,6.316051777,0,"0,1,2,3"
prio,14,4.322486927,4.322486927,0,"0,1,2,3"
baseline,15,6.307522129,6.307522129,0,"0,1,2,3"
prio,15,4.323138237,4.323138237,0,"0,1,2,3"
baseline,16,6.281928310,6.281928310,0,"0,1,2,3"
prio,16,4.323100902,4.323100902,0,"0,1,2,3"
baseline,17,6.231669446,6.231669446,0,"0,1,2,3"
prio,17,4.547748832,4.547748832,0,"0,1,2,3"
baseline,18,6.313033529,6.313033529,0,"0,1,2,3"
prio,18,4.322903147,4.322903147,0,"0,1,2,3"
baseline,19,6.319480121,6.319480121,0,"0,1,2,3"
prio,19,4.500024787,4.500024787,0,"0,1,2,3"
baseline,20,6.301616803,6.301616803,0,"0,1,2,3"
prio,20,4.323373035,4.323373035,0,"0,1,2,3"
baseline,21,6.298789309,6.298789309,0,"0,1,2,3"
prio,21,4.323426119,4.323426119,0,"0,1,2,3"
baseline,22,6.263574853,6.263574853,0,"0,1,2,3"
prio,22,4.323849922,4.323849922,0,"0,1,2,3"
baseline,23,6.286263886,6.286263886,0,"0,1,2,3"
prio,23,4.583046331,4.583046331,0,"0,1,2,3"
baseline,24,6.303989367,6.303989367,0,"0,1,2,3"
prio,24,4.323925174,4.323925174,0,"0,1,2,3"
baseline,25,6.310174243,6.310174243,0,"0,1,2,3"
prio,25,4.373515979,4.373515979,0,"0,1,2,3"
baseline,26,6.262938128,6.262938128,0,"0,1,2,3"
prio,26,4.505192594,4.505192594,0,"0,1,2,3"
baseline,27,6.175989059,6.175989059,0,"0,1,2,3"
prio,27,4.373910740,4.373910740,0,"0,1,2,3"
baseline,28,6.366745028,6.366745028,0,"0,1,2,3"
prio,28,4.662619990,4.662619990,0,"0,1,2,3"
baseline,29,6.292395511,6.292395511,0,"0,1,2,3"
prio,29,4.373948240,4.373948240,0,"0,1,2,3"
baseline,30,6.290342996,6.290342996,0,"0,1,2,3"
prio,30,4.323142320,4.323142320,0,"0,1,2,3"
baseline,31,6.345013022,6.345013022,0,"0,1,2,3"
prio,31,4.373501103,4.373501103,0,"0,1,2,3"
baseline,32,6.294112307,6.294112307,0,"0,1,2,3"
prio,32,4.499419979,4.499419979,0,"0,1,2,3"
baseline,33,6.355276926,6.355276926,0,"0,1,2,3"
