program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.956832604,0.956832604,0,"0,1,2,3"
prio,0,0.614147615,0.614147615,0,"0,1,2,3"
baseline,1,0.834546793,0.834546793,0,"0,1,2,3"
prio,1,0.615323881,0.615323881,0,"0,1,2,3"
baseline,2,0.928479487,0.928479487,0,"0,1,2,3"
prio,2,0.622662045,0.622662045,0,"0,1,2,3"
baseline,3,0.904074251,0.904074251,0,"0,1,2,3"
prio,3,0.623648450,0.623648450,0,"0,1,2,3"
baseline,4,0.890959894,0.890959894,0,"0,1,2,3"
prio,4,0.610612809,0.610612809,0,"0,1,2,3"
baseline,5,0.866156895,0.866156895,0,"0,1,2,3"
prio,5,0.644952344,0.644952344,0,"0,1,2,3"
baseline,6,0.898487024,0.898487024,0,"0,1,2,3"
prio,6,0.629180654,0.629180654,0,"0,1,2,3"
baseline,7,0.813033684,0.813033684,0,"0,1,2,3"
prio,7,0.612973921,0.612973921,0,"0,1,2,3"
baseline,8,0.912937765,0.912937765,0,"0,1,2,3"
prio,8,0.630634304,0.630634304,0,"0,1,2,3"
baseline,9,0.843248819,0.843248819,0,"0,1,2,3"
prio,9,0.611733363,0.611733363,0,"0,1,2,3"
baseline,10,0.940698035,0.940698035,0,"0,1,2,3"
prio,10,0.609183958,0.609183958,0,"0,1,2,3"
baseline,11,0.828121737,0.828121737,0,"0,1,2,3"
prio,11,0.620164470,0.620164470,0,"0,1,2,3"
baseline,12,0.922265229,0.922265229,0,"0,1,2,3"
prio,12,0.626249931,0.626249931,0,"0,1,2,3"
baseline,13,0.878874985,0.878874985,0,"0,1,2,3"
prio,13,0.624633108,0.624633108,0,"0,1,2,3"
baseline,14,0.926048783,0.926048783,0,"0,1,2,3"
prio,14,0.625024393,0.625024393,0,"0,1,2,3"
baseline,15,0.887986906,0.887986906,0,"0,1,2,3"
prio,15,0.617520198,0.617520198,0,"0,1,2,3"
baseline,16,0.823982323,0.823982323,0,"0,1,2,3"
prio,16,0.644593065,0.644593065,0,"0,1,2,3"
baseline,17,0.859767575,0.859767575,0,"0,1,2,3"
prio,17,0.634924793,0.634924793,0,"0,1,2,3"
baseline,18,0.821600467,0.821600467,0,"0,1,2,3"
prio,18,0.623620923,0.623620923,0,"0,1,2,3"
baseline,19,0.871031955,0.871031955,0,"0,1,2,3"
prio,19,0.609237824,0.609237824,0,"0,1,2,3"
baseline,20,0.876214303,0.876214303,0,"0,1,2,3"
prio,20,0.611222130,0.611222130,0,"0,1,2,3"
baseline,21,0.896058894,0.896058894,0,"0,1,2,3"
prio,21,0.626351622,0.626351622,0,"0,1,2,3"
baseline,22,0.822337008,0.822337008,0,"0,1,2,3"
prio,22,0.620409785,0.620409785,0,"0,1,2,3"
baseline,23,0.840306437,0.840306437,0,"0,1,2,3"
prio,23,0.633541105,0.633541105,0,"0,1,2,3"
baseline,24,0.862248441,0.862248441,0,"0,1,2,3"
prio,24,0.618285546,0.618285546,0,"0,1,2,3"
baseline,25,0.905175404,0.905175404,0,"0,1,2,3"
prio,25,0.617585128,0.617585128,0,"0,1,2,3"
baseline,26,0.814976441,0.814976441,0,"0,1,2,3"
prio,26,0.624933609,0.624933609,0,"0,1,2,3"
baseline,27,0.877300903,0.877300903,0,"0,1,2,3"
prio,27,0.637005266,0.637005266,0,"0,1,2,3"
baseline,28,0.748193549,0.748193549,0,"0,1,2,3"
prio,28,0.610747003,0.610747003,0,"0,1,2,3"
baseline,29,0.866103974,0.866103974,0,"0,1,2,3"
prio,29,0.614267955,0.614267955,0,"0,1,2,3"
baseline,30,0.849950566,0.849950566,0,"0,1,2,3"
prio,30,0.656775749,0.656775749,0,"0,1,2,3"
baseline,31,0.944548710,0.944548710,0,"0,1,2,3"
prio,31,0.620543268,0.620543268,0,"0,1,2,3"
baseline,32,0.923313373,0.923313373,0,"0,1,2,3"
prio,32,0.624909433,0.624909433,0,"0,1,2,3"
baseline,33,0.870000050,0.870000050,0,"0,1,2,3"
prio,33,0.619613157,0.619613157,0,"0,1,2,3"
baseline,34,0.811328099,0.811328099,0,"0,1,2,3"
prio,34,0.625942474,0.625942474,0,"0,1,2,3"
baseline,35,0.834325303,0.834325303,0,"0,1,2,3"
prio,35,0.626546465,0.626546465,0,"0,1,2,3"
baseline,36,0.752928986,0.752928986,0,"0,1,2,3"
prio,36,0.607911534,0.607911534,0,"0,1,2,3"
baseline,37,0.905515017,0.905515017,0,"0,1,2,3"
prio,37,0.613973574,0.613973574,0,"0,1,2,3"
baseline,38,0.828705369,0.828705369,0,"0,1,2,3"
prio,38,0.622708517,0.622708517,0,"0,1,2,3"
baseline,39,0.774756318,0.774756318,0,"0,1,2,3"
prio,39,0.610984352,0.610984352,0,"0,1,2,3"
baseline,40,0.890913172,0.890913172,0,"0,1,2,3"
prio,40,0.640751097,0.640751097,0,"0,1,2,3"
baseline,41,0.883810091,0.883810091,0,"0,1,2,3"
prio,41,0.611125816,0.611125816,0,"0,1,2,3"
baseline,42,0.754442006,0.754442006,0,"0,1,2,3"
prio,42,0.620288628,0.620288628,0,"0,1,2,3"
baseline,43,0.903712680,0.903712680,0,"0,1,2,3"
prio,43,0.622998607,0.622998607,0,"0,1,2,3"
baseline,44,0.901158818,0.901158818,0,"0,1,2,3"
prio,44,0.619367491,0.619367491,0,"0,1,2,3"
baseline,45,0.877997809,0.877997809,0,"0,1,2,3"
prio,45,0.615599890,0.615599890,0,"0,1,2,3"
baseline,46,0.883104503,0.883104503,0,"0,1,2,3"
prio,46,0.629905453,0.629905453,0,"0,1,2,3"
baseline,47,0.902941254,0.902941254,0,"0,1,2,3"
prio,47,0.615104897,0.615104897,0,"0,1,2,3"
baseline,48,0.884997347,0.884997347,0,"0,1,2,3"
prio,48,0.626309174,0.626309174,0,"0,1,2,3"
baseline,49,0.961931462,0.961931462,0,"0,1,2,3"
prio,49,0.610546782,0.610546782,0,"0,1,2,3"
