program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,44.975298923,44.975298923,0,"0,1,2,3"
prio,0,32.949662575,32.949662575,0,"0,1,2,3"
baseline,1,44.951787692,44.951787692,0,"0,1,2,3"
prio,1,31.465720617,31.465720617,0,"0,1,2,3"
baseline,2,44.836929512,44.836929512,0,"0,1,2,3"
prio,2,32.364637211,32.364637211,0,"0,1,2,3"
baseline,3,44.991289878,44.991289878,0,"0,1,2,3"
prio,3,31.821449509,31.821449509,0,"0,1,2,3"
baseline,4,45.014417384,45.014417384,0,"0,1,2,3"
prio,4,31.701007230,31.701007230,0,"0,1,2,3"
baseline,5,44.868518882,44.868518882,0,"0,1,2,3"
prio,5,31.910610735,31.910610735,0,"0,1,2,3"
baseline,6,44.864056878,44.864056878,0,"0,1,2,3"
prio,6,34.538176302,34.538176302,0,"0,1,2,3"
baseline,7,44.830311034,44.830311034,0,"0,1,2,3"
prio,7,32.559290003,32.559290003,0,"0,1,2,3"
baseline,8,44.907369734,44.907369734,0,"0,1,2,3"
prio,8,36.224845024,36.224845024,0,"0,1,2,3"
baseline,9,45.002667717,45.002667717,0,"0,1,2,3"
prio,9,32.044935619,32.044935619,0,"0,1,2,3"
baseline,10,44.884040474,44.884040474,0,"0,1,2,3"
prio,10,33.530593654,33.530593654,0,"0,1,2,3"
baseline,11,44.970024990,44.970024990,0,"0,1,2,3"
prio,11,32.720206133,32.720206133,0,"0,1,2,3"
baseline,12,44.994684340,44.994684340,0,"0,1,2,3"
prio,12,31.345858348,31.345858348,0,"0,1,2,3"
baseline,13,44.942575521,44.942575521,0,"0,1,2,3"
prio,13,31.866874119,31.866874119,0,"0,1,2,3"
baseline,14,44.943478264,44.943478264,0,"0,1,2,3"
prio,14,31.872258647,31.872258647,0,"0,1,2,3"
baseline,15,44.866509142,44.866509142,0,"0,1,2,3"
prio,15,35.890342689,35.890342689,0,"0,1,2,3"
baseline,16,44.859253745,44.859253745,0,"0,1,2,3"
prio,16,31.410482626,31.410482626,0,"0,1,2,3"
baseline,17,45.038405821,45.038405821,0,"0,1,2,3"
prio,17,32.058048787,32.058048787,0,"0,1,2,3"
baseline,18,44.921948916,44.921948916,0,"0,1,2,3"
prio,18,32.068447364,32.068447364,0,"0,1,2,3"
baseline,19,44.865351218,44.865351218,0,"0,1,2,3"
prio,19,32.356117757,32.356117757,0,"0,1,2,3"
baseline,20,44.883783597,44.883783597,0,"0,1,2,3"
prio,20,31.376786100,31.376786100,0,"0,1,2,3"
baseline,21,45.040527771,45.040527771,0,"0,1,2,3"
