program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,5.238095821,5.238095821,0,"0,1,2,3"
prio,0,5.061671387,5.061671387,0,"0,1,2,3"
baseline,1,5.335174982,5.335174982,0,"0,1,2,3"
prio,1,5.093353733,5.093353733,0,"0,1,2,3"
baseline,2,5.454075309,5.454075309,0,"0,1,2,3"
prio,2,5.115795053,5.115795053,0,"0,1,2,3"
baseline,3,5.308418954,5.308418954,0,"0,1,2,3"
prio,3,5.068618695,5.068618695,0,"0,1,2,3"
baseline,4,5.344953847,5.344953847,0,"0,1,2,3"
prio,4,5.062413667,5.062413667,0,"0,1,2,3"
baseline,5,5.313732764,5.313732764,0,"0,1,2,3"
prio,5,5.198372939,5.198372939,0,"0,1,2,3"
baseline,6,5.434925396,5.434925396,0,"0,1,2,3"
prio,6,5.232650000,5.232650000,0,"0,1,2,3"
baseline,7,5.493931564,5.493931564,0,"0,1,2,3"
prio,7,5.242435896,5.242435896,0,"0,1,2,3"
baseline,8,5.310227278,5.310227278,0,"0,1,2,3"
prio,8,5.113631948,5.113631948,0,"0,1,2,3"
baseline,9,5.354306260,5.354306260,0,"0,1,2,3"
prio,9,5.107485311,5.107485311,0,"0,1,2,3"
baseline,10,5.274785549,5.274785549,0,"0,1,2,3"
prio,10,5.068218166,5.068218166,0,"0,1,2,3"
baseline,11,5.421708932,5.421708932,0,"0,1,2,3"
prio,11,5.165941236,5.165941236,0,"0,1,2,3"
baseline,12,5.344838964,5.344838964,0,"0,1,2,3"
prio,12,5.060918895,5.060918895,0,"0,1,2,3"
baseline,13,5.365705713,5.365705713,0,"0,1,2,3"
prio,13,5.073380720,5.073380720,0,"0,1,2,3"
baseline,14,5.379499706,5.379499706,0,"0,1,2,3"
prio,14,5.057638554,5.057638554,0,"0,1,2,3"
baseline,15,5.381650225,5.381650225,0,"0,1,2,3"
prio,15,5.136768472,5.136768472,0,"0,1,2,3"
baseline,16,5.432328722,5.432328722,0,"0,1,2,3"
prio,16,5.099271590,5.099271590,0,"0,1,2,3"
baseline,17,5.385880237,5.385880237,0,"0,1,2,3"
prio,17,5.098592784,5.098592784,0,"0,1,2,3"
baseline,18,5.321496740,5.321496740,0,"0,1,2,3"
prio,18,5.228252089,5.228252089,0,"0,1,2,3"
baseline,19,5.454697844,5.454697844,0,"0,1,2,3"
prio,19,5.147354131,5.147354131,0,"0,1,2,3"
baseline,20,5.357007116,5.357007116,0,"0,1,2,3"
prio,20,5.125504102,5.125504102,0,"0,1,2,3"
baseline,21,5.307839816,5.307839816,0,"0,1,2,3"
prio,21,5.098142062,5.098142062,0,"0,1,2,3"
baseline,22,5.372636873,5.372636873,0,"0,1,2,3"
prio,22,5.161170753,5.161170753,0,"0,1,2,3"
baseline,23,5.339398291,5.339398291,0,"0,1,2,3"
prio,23,5.110323195,5.110323195,0,"0,1,2,3"
baseline,24,5.371158336,5.371158336,0,"0,1,2,3"
prio,24,5.121462719,5.121462719,0,"0,1,2,3"
baseline,25,5.489103075,5.489103075,0,"0,1,2,3"
prio,25,5.076831474,5.076831474,0,"0,1,2,3"
baseline,26,5.397938108,5.397938108,0,"0,1,2,3"
prio,26,5.154298580,5.154298580,0,"0,1,2,3"
baseline,27,5.412558625,5.412558625,0,"0,1,2,3"
prio,27,5.135914108,5.135914108,0,"0,1,2,3"
baseline,28,5.540945023,5.540945023,0,"0,1,2,3"
prio,28,5.076965025,5.076965025,0,"0,1,2,3"
baseline,29,5.453167780,5.453167780,0,"0,1,2,3"
prio,29,5.118435118,5.118435118,0,"0,1,2,3"
baseline,30,5.359686948,5.359686948,0,"0,1,2,3"
prio,30,5.046678361,5.046678361,0,"0,1,2,3"
baseline,31,5.372300273,5.372300273,0,"0,1,2,3"
prio,31,5.119550062,5.119550062,0,"0,1,2,3"
baseline,32,5.344459405,5.344459405,0,"0,1,2,3"
prio,32,5.113279809,5.113279809,0,"0,1,2,3"
baseline,33,5.371657960,5.371657960,0,"0,1,2,3"
prio,33,5.193448390,5.193448390,0,"0,1,2,3"
baseline,34,5.367054257,5.367054257,0,"0,1,2,3"
prio,34,5.185733191,5.185733191,0,"0,1,2,3"
baseline,35,5.525858937,5.525858937,0,"0,1,2,3"
prio,35,5.218788023,5.218788023,0,"0,1,2,3"
baseline,36,5.456207303,5.456207303,0,"0,1,2,3"
prio,36,5.157861490,5.157861490,0,"0,1,2,3"
baseline,37,5.283888425,5.283888425,0,"0,1,2,3"
prio,37,5.052147468,5.052147468,0,"0,1,2,3"
baseline,38,5.341550769,5.341550769,0,"0,1,2,3"
prio,38,5.074755508,5.074755508,0,"0,1,2,3"
baseline,39,5.390295924,5.390295924,0,"0,1,2,3"
prio,39,5.250183598,5.250183598,0,"0,1,2,3"
baseline,40,5.322030940,5.322030940,0,"0,1,2,3"
prio,40,5.081954479,5.081954479,0,"0,1,2,3"
baseline,41,5.437980731,5.437980731,0,"0,1,2,3"
prio,41,5.137721306,5.137721306,0,"0,1,2,3"
baseline,42,5.348072905,5.348072905,0,"0,1,2,3"
prio,42,5.195792672,5.195792672,0,"0,1,2,3"
baseline,43,5.410130384,5.410130384,0,"0,1,2,3"
prio,43,5.152624764,5.152624764,0,"0,1,2,3"
baseline,44,5.379723636,5.379723636,0,"0,1,2,3"
prio,44,5.171955087,5.171955087,0,"0,1,2,3"
baseline,45,5.442723813,5.442723813,0,"0,1,2,3"
prio,45,5.158189839,5.158189839,0,"0,1,2,3"
baseline,46,5.385154311,5.385154311,0,"0,1,2,3"
