program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.693568364,1.693568364,0,"0,1,2,3"
prio,0,1.229884798,1.229884798,0,"0,1,2,3"
baseline,1,1.686063302,1.686063302,0,"0,1,2,3"
prio,1,1.238158418,1.238158418,0,"0,1,2,3"
baseline,2,1.771893703,1.771893703,0,"0,1,2,3"
prio,2,1.228150812,1.228150812,0,"0,1,2,3"
baseline,3,1.716500141,1.716500141,0,"0,1,2,3"
prio,3,1.224396792,1.224396792,0,"0,1,2,3"
baseline,4,1.760613614,1.760613614,0,"0,1,2,3"
prio,4,1.235787522,1.235787522,0,"0,1,2,3"
