program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,4.548510352,4.548510352,0,"0,1,2,3"
prio,0,3.082692907,3.082692907,0,"0,1,2,3"
baseline,1,4.493320438,4.493320438,0,"0,1,2,3"
prio,1,3.277047182,3.277047182,0,"0,1,2,3"
baseline,2,4.522727945,4.522727945,0,"0,1,2,3"
prio,2,3.465603215,3.465603215,0,"0,1,2,3"
baseline,3,4.537429801,4.537429801,0,"0,1,2,3"
prio,3,3.081138864,3.081138864,0,"0,1,2,3"
baseline,4,4.523819099,4.523819099,0,"0,1,2,3"
prio,4,3.091491854,3.091491854,0,"0,1,2,3"
baseline,5,4.511733563,4.511733563,0,"0,1,2,3"
prio,5,3.135303418,3.135303418,0,"0,1,2,3"
baseline,6,4.563646096,4.563646096,0,"0,1,2,3"
prio,6,3.081711714,3.081711714,0,"0,1,2,3"
baseline,7,4.467487821,4.467487821,0,"0,1,2,3"
prio,7,3.266218471,3.266218471,0,"0,1,2,3"
baseline,8,4.477373422,4.477373422,0,"0,1,2,3"
prio,8,3.487577978,3.487577978,0,"0,1,2,3"
baseline,9,4.452149404,4.452149404,0,"0,1,2,3"
prio,9,3.084259491,3.084259491,0,"0,1,2,3"
baseline,10,4.421822539,4.421822539,0,"0,1,2,3"
prio,10,3.082054140,3.082054140,0,"0,1,2,3"
baseline,11,4.486992558,4.486992558,0,"0,1,2,3"
prio,11,3.093740081,3.093740081,0,"0,1,2,3"
baseline,12,4.508872526,4.508872526,0,"0,1,2,3"
prio,12,3.435956160,3.435956160,0,"0,1,2,3"
baseline,13,4.547178233,4.547178233,0,"0,1,2,3"
prio,13,3.082106641,3.082106641,0,"0,1,2,3"
baseline,14,4.495895341,4.495895341,0,"0,1,2,3"
prio,14,3.082213394,3.082213394,0,"0,1,2,3"
baseline,15,4.508698689,4.508698689,0,"0,1,2,3"
prio,15,3.239099068,3.239099068,0,"0,1,2,3"
baseline,16,4.522392227,4.522392227,0,"0,1,2,3"
prio,16,3.082066098,3.082066098,0,"0,1,2,3"
baseline,17,4.464593992,4.464593992,0,"0,1,2,3"
prio,17,3.081372496,3.081372496,0,"0,1,2,3"
baseline,18,4.488495849,4.488495849,0,"0,1,2,3"
prio,18,3.082023805,3.082023805,0,"0,1,2,3"
baseline,19,4.459342683,4.459342683,0,"0,1,2,3"
prio,19,3.273911888,3.273911888,0,"0,1,2,3"
baseline,20,4.511335719,4.511335719,0,"0,1,2,3"
prio,20,3.330521341,3.330521341,0,"0,1,2,3"
baseline,21,4.521324698,4.521324698,0,"0,1,2,3"
prio,21,3.085023970,3.085023970,0,"0,1,2,3"
baseline,22,4.454946855,4.454946855,0,"0,1,2,3"
prio,22,3.185052726,3.185052726,0,"0,1,2,3"
baseline,23,4.497627430,4.497627430,0,"0,1,2,3"
prio,23,3.081914720,3.081914720,0,"0,1,2,3"
baseline,24,4.473901328,4.473901328,0,"0,1,2,3"
prio,24,3.318409054,3.318409054,0,"0,1,2,3"
baseline,25,4.494279297,4.494279297,0,"0,1,2,3"
prio,25,3.386156143,3.386156143,0,"0,1,2,3"
baseline,26,4.487318066,4.487318066,0,"0,1,2,3"
prio,26,3.081723089,3.081723089,0,"0,1,2,3"
baseline,27,4.507605201,4.507605201,0,"0,1,2,3"
prio,27,3.089430590,3.089430590,0,"0,1,2,3"
baseline,28,4.521605289,4.521605289,0,"0,1,2,3"
prio,28,3.100899526,3.100899526,0,"0,1,2,3"
baseline,29,4.493014763,4.493014763,0,"0,1,2,3"
prio,29,3.082049181,3.082049181,0,"0,1,2,3"
baseline,30,4.488035586,4.488035586,0,"0,1,2,3"
prio,30,3.081831592,3.081831592,0,"0,1,2,3"
baseline,31,4.514051501,4.514051501,0,"0,1,2,3"
prio,31,3.081963137,3.081963137,0,"0,1,2,3"
baseline,32,4.498186653,4.498186653,0,"0,1,2,3"
prio,32,3.082920996,3.082920996,0,"0,1,2,3"
baseline,33,4.462035714,4.462035714,0,"0,1,2,3"
prio,33,3.271743746,3.271743746,0,"0,1,2,3"
baseline,34,4.497118041,4.497118041,0,"0,1,2,3"
prio,34,3.381190174,3.381190174,0,"0,1,2,3"
baseline,35,4.492678462,4.492678462,0,"0,1,2,3"
prio,35,3.244949936,3.244949936,0,"0,1,2,3"
baseline,36,4.500838934,4.500838934,0,"0,1,2,3"
prio,36,3.083161045,3.083161045,0,"0,1,2,3"
baseline,37,4.551511559,4.551511559,0,"0,1,2,3"
prio,37,3.139367611,3.139367611,0,"0,1,2,3"
baseline,38,4.507179355,4.507179355,0,"0,1,2,3"
prio,38,3.269912779,3.269912779,0,"0,1,2,3"
baseline,39,4.497316421,4.497316421,0,"0,1,2,3"
prio,39,3.098699425,3.098699425,0,"0,1,2,3"
baseline,40,4.488581601,4.488581601,0,"0,1,2,3"
prio,40,3.204340333,3.204340333,0,"0,1,2,3"
baseline,41,4.496191683,4.496191683,0,"0,1,2,3"
prio,41,3.389921994,3.389921994,0,"0,1,2,3"
baseline,42,4.460512881,4.460512881,0,"0,1,2,3"
prio,42,3.082692907,3.082692907,0,"0,1,2,3"
baseline,43,4.487659326,4.487659326,0,"0,1,2,3"
prio,43,3.190624753,3.190624753,0,"0,1,2,3"
baseline,44,4.518374993,4.518374993,0,"0,1,2,3"
prio,44,3.091771278,3.091771278,0,"0,1,2,3"
baseline,45,4.534896025,4.534896025,0,"0,1,2,3"
prio,45,3.081991430,3.081991430,0,"0,1,2,3"
baseline,46,4.494242130,4.494242130,0,"0,1,2,3"
prio,46,3.204737802,3.204737802,0,"0,1,2,3"
baseline,47,4.492350328,4.492350328,0,"0,1,2,3"
prio,47,3.081598544,3.081598544,0,"0,1,2,3"
baseline,48,4.495793547,4.495793547,0,"0,1,2,3"
prio,48,3.495384856,3.495384856,0,"0,1,2,3"
baseline,49,4.467732202,4.467732202,0,"0,1,2,3"
prio,49,3.213436538,3.213436538,0,"0,1,2,3"
