program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,26.115289593,26.115289593,0,"0,1,2,3"
prio,0,19.275435299,19.275435299,0,"0,1,2,3"
baseline,1,26.017299249,26.017299249,0,"0,1,2,3"
prio,1,19.383751173,19.383751173,0,"0,1,2,3"
baseline,2,26.297967140,26.297967140,0,"0,1,2,3"
prio,2,19.342436468,19.342436468,0,"0,1,2,3"
baseline,3,26.350571158,26.350571158,0,"0,1,2,3"
prio,3,19.347368855,19.347368855,0,"0,1,2,3"
baseline,4,25.609770566,25.609770566,0,"0,1,2,3"
prio,4,19.304349746,19.304349746,0,"0,1,2,3"
