program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,26.987518902,26.987518902,0,"0,1,2,3"
prio,0,19.414067162,19.414067162,0,"0,1,2,3"
baseline,1,26.892698772,26.892698772,0,"0,1,2,3"
prio,1,20.913444711,20.913444711,0,"0,1,2,3"
baseline,2,26.929411919,26.929411919,0,"0,1,2,3"
prio,2,21.724491370,21.724491370,0,"0,1,2,3"
baseline,3,26.927254620,26.927254620,0,"0,1,2,3"
prio,3,19.900806716,19.900806716,0,"0,1,2,3"
baseline,4,26.945982343,26.945982343,0,"0,1,2,3"
prio,4,21.422142683,21.422142683,0,"0,1,2,3"
baseline,5,26.921907903,26.921907903,0,"0,1,2,3"
prio,5,19.093671718,19.093671718,0,"0,1,2,3"
baseline,6,26.928557446,26.928557446,0,"0,1,2,3"
prio,6,19.447014358,19.447014358,0,"0,1,2,3"
baseline,7,26.965755672,26.965755672,0,"0,1,2,3"
prio,7,18.780098610,18.780098610,0,"0,1,2,3"
baseline,8,26.888198075,26.888198075,0,"0,1,2,3"
prio,8,21.025640446,21.025640446,0,"0,1,2,3"
baseline,9,26.868971301,26.868971301,0,"0,1,2,3"
prio,9,19.290885570,19.290885570,0,"0,1,2,3"
baseline,10,26.955630780,26.955630780,0,"0,1,2,3"
prio,10,21.372887772,21.372887772,0,"0,1,2,3"
baseline,11,26.931558380,26.931558380,0,"0,1,2,3"
prio,11,20.116185914,20.116185914,0,"0,1,2,3"
baseline,12,26.922063580,26.922063580,0,"0,1,2,3"
prio,12,18.798180155,18.798180155,0,"0,1,2,3"
baseline,13,26.894920324,26.894920324,0,"0,1,2,3"
prio,13,19.076039798,19.076039798,0,"0,1,2,3"
baseline,14,26.904043220,26.904043220,0,"0,1,2,3"
prio,14,19.391708633,19.391708633,0,"0,1,2,3"
baseline,15,26.943492912,26.943492912,0,"0,1,2,3"
prio,15,19.410199832,19.410199832,0,"0,1,2,3"
baseline,16,26.979542494,26.979542494,0,"0,1,2,3"
prio,16,18.953899468,18.953899468,0,"0,1,2,3"
baseline,17,26.893012885,26.893012885,0,"0,1,2,3"
prio,17,20.424391533,20.424391533,0,"0,1,2,3"
baseline,18,26.932352251,26.932352251,0,"0,1,2,3"
prio,18,22.994854056,22.994854056,0,"0,1,2,3"
baseline,19,26.993229552,26.993229552,0,"0,1,2,3"
prio,19,19.323833575,19.323833575,0,"0,1,2,3"
baseline,20,26.963202112,26.963202112,0,"0,1,2,3"
prio,20,19.447859355,19.447859355,0,"0,1,2,3"
baseline,21,26.890977035,26.890977035,0,"0,1,2,3"
prio,21,18.769732172,18.769732172,0,"0,1,2,3"
baseline,22,26.911815969,26.911815969,0,"0,1,2,3"
prio,22,19.021598513,19.021598513,0,"0,1,2,3"
