program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
prio,46,1.906528308,1.906528308,0,"0,1,2,3"
baseline,47,2.586115780,2.586115780,0,"0,1,2,3"
prio,47,1.897235962,1.897235962,0,"0,1,2,3"
baseline,48,2.718960598,2.718960598,0,"0,1,2,3"
prio,48,1.886910977,1.886910977,0,"0,1,2,3"
baseline,49,2.722304524,2.722304524,0,"0,1,2,3"
prio,49,1.892531203,1.892531203,0,"0,1,2,3"
baseline,50,2.488636510,2.488636510,0,"0,1,2,3"
prio,50,1.895687805,1.895687805,0,"0,1,2,3"
baseline,51,2.595777744,2.595777744,0,"0,1,2,3"
prio,51,1.883501282,1.883501282,0,"0,1,2,3"
baseline,52,2.562936041,2.562936041,0,"0,1,2,3"
prio,52,1.897235423,1.897235423,0,"0,1,2,3"
baseline,53,2.637825734,2.637825734,0,"0,1,2,3"
prio,53,1.894892255,1.894892255,0,"0,1,2,3"
baseline,54,2.634137422,2.634137422,0,"0,1,2,3"
prio,54,1.872023024,1.872023024,0,"0,1,2,3"
baseline,55,2.640604508,2.640604508,0,"0,1,2,3"
prio,55,1.911062112,1.911062112,0,"0,1,2,3"
baseline,56,2.655344560,2.655344560,0,"0,1,2,3"
prio,56,1.903097355,1.903097355,0,"0,1,2,3"
baseline,57,2.468352041,2.468352041,0,"0,1,2,3"
prio,57,1.883591069,1.883591069,0,"0,1,2,3"
baseline,58,2.392525281,2.392525281,0,"0,1,2,3"
prio,58,1.860926738,1.860926738,0,"0,1,2,3"
baseline,59,2.562721313,2.562721313,0,"0,1,2,3"
prio,59,1.900426161,1.900426161,0,"0,1,2,3"
baseline,60,2.567930754,2.567930754,0,"0,1,2,3"
prio,60,1.883940101,1.883940101,0,"0,1,2,3"
baseline,61,2.473068187,2.473068187,0,"0,1,2,3"
prio,61,1.879524792,1.879524792,0,"0,1,2,3"
baseline,62,2.417648739,2.417648739,0,"0,1,2,3"
prio,62,1.890300594,1.890300594,0,"0,1,2,3"
baseline,63,2.742211403,2.742211403,0,"0,1,2,3"
prio,63,1.885274903,1.885274903,0,"0,1,2,3"
baseline,64,2.649969922,2.649969922,0,"0,1,2,3"
prio,64,1.883444262,1.883444262,0,"0,1,2,3"
baseline,65,2.590142083,2.590142083,0,"0,1,2,3"
prio,65,1.878740820,1.878740820,0,"0,1,2,3"
baseline,66,2.668122427,2.668122427,0,"0,1,2,3"
prio,66,1.902426332,1.902426332,0,"0,1,2,3"
baseline,67,2.537603766,2.537603766,0,"0,1,2,3"
prio,67,1.916759440,1.916759440,0,"0,1,2,3"
baseline,68,2.531684798,2.531684798,0,"0,1,2,3"
prio,68,1.881751176,1.881751176,0,"0,1,2,3"
baseline,69,2.592360160,2.592360160,0,"0,1,2,3"
prio,69,1.896747805,1.896747805,0,"0,1,2,3"
baseline,70,2.518950139,2.518950139,0,"0,1,2,3"
prio,70,1.889527891,1.889527891,0,"0,1,2,3"
baseline,71,2.672318973,2.672318973,0,"0,1,2,3"
prio,71,1.881120976,1.881120976,0,"0,1,2,3"
baseline,72,2.608475116,2.608475116,0,"0,1,2,3"
prio,72,1.886435783,1.886435783,0,"0,1,2,3"
baseline,73,2.412538825,2.412538825,0,"0,1,2,3"
prio,73,1.901969697,1.901969697,0,"0,1,2,3"
baseline,74,2.822189458,2.822189458,0,"0,1,2,3"
prio,74,1.912804172,1.912804172,0,"0,1,2,3"
baseline,75,2.747322072,2.747322072,0,"0,1,2,3"
