program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,130.775032797,130.775032797,0,"0,1,2,3"
prio,0,96.302642871,96.302642871,0,"0,1,2,3"
baseline,1,130.586060583,130.586060583,0,"0,1,2,3"
prio,1,96.398059713,96.398059713,0,"0,1,2,3"
baseline,2,131.318144295,131.318144295,0,"0,1,2,3"
prio,2,96.217139701,96.217139701,0,"0,1,2,3"
baseline,3,130.904298680,130.904298680,0,"0,1,2,3"
prio,3,96.350664749,96.350664749,0,"0,1,2,3"
baseline,4,115.481258651,115.481258651,0,"0,1,2,3"
prio,4,96.121523190,96.121523190,0,"0,1,2,3"
baseline,5,130.367897047,130.367897047,0,"0,1,2,3"
prio,5,96.404773169,96.404773169,0,"0,1,2,3"
baseline,6,131.512183580,131.512183580,0,"0,1,2,3"
prio,6,96.117776952,96.117776952,0,"0,1,2,3"
baseline,7,120.727932190,120.727932190,0,"0,1,2,3"
prio,7,96.402288347,96.402288347,0,"0,1,2,3"
baseline,8,122.763799695,122.763799695,0,"0,1,2,3"
prio,8,96.401542387,96.401542387,0,"0,1,2,3"
baseline,9,127.873416868,127.873416868,0,"0,1,2,3"
prio,9,96.126099947,96.126099947,0,"0,1,2,3"
baseline,10,126.333978250,126.333978250,0,"0,1,2,3"
prio,10,96.368196553,96.368196553,0,"0,1,2,3"
baseline,11,131.163343472,131.163343472,0,"0,1,2,3"
prio,11,96.447354582,96.447354582,0,"0,1,2,3"
baseline,12,126.822679286,126.822679286,0,"0,1,2,3"
prio,12,96.471745767,96.471745767,0,"0,1,2,3"
baseline,13,130.592266158,130.592266158,0,"0,1,2,3"
prio,13,96.127015441,96.127015441,0,"0,1,2,3"
baseline,14,123.565059871,123.565059871,0,"0,1,2,3"
prio,14,96.331638705,96.331638705,0,"0,1,2,3"
baseline,15,114.881733936,114.881733936,0,"0,1,2,3"
prio,15,96.396840739,96.396840739,0,"0,1,2,3"
baseline,16,127.768772385,127.768772385,0,"0,1,2,3"
prio,16,96.236188511,96.236188511,0,"0,1,2,3"
baseline,17,123.756647133,123.756647133,0,"0,1,2,3"
prio,17,96.060485575,96.060485575,0,"0,1,2,3"
baseline,18,114.797487397,114.797487397,0,"0,1,2,3"
prio,18,96.144504023,96.144504023,0,"0,1,2,3"
baseline,19,115.314748545,115.314748545,0,"0,1,2,3"
prio,19,96.272100298,96.272100298,0,"0,1,2,3"
baseline,20,131.466449760,131.466449760,0,"0,1,2,3"
prio,20,96.187521517,96.187521517,0,"0,1,2,3"
baseline,21,127.242187130,127.242187130,0,"0,1,2,3"
prio,21,96.261304434,96.261304434,0,"0,1,2,3"
baseline,22,130.079929173,130.079929173,0,"0,1,2,3"
prio,22,95.943361185,95.943361185,0,"0,1,2,3"
baseline,23,131.319784865,131.319784865,0,"0,1,2,3"
prio,23,96.387991120,96.387991120,0,"0,1,2,3"
baseline,24,130.875369156,130.875369156,0,"0,1,2,3"
prio,24,96.207749280,96.207749280,0,"0,1,2,3"
baseline,25,131.491542521,131.491542521,0,"0,1,2,3"
prio,25,96.336523985,96.336523985,0,"0,1,2,3"
baseline,26,129.967050175,129.967050175,0,"0,1,2,3"
prio,26,96.289457134,96.289457134,0,"0,1,2,3"
baseline,27,130.033170440,130.033170440,0,"0,1,2,3"
prio,27,96.268706112,96.268706112,0,"0,1,2,3"
baseline,28,129.061408107,129.061408107,0,"0,1,2,3"
prio,28,96.251269708,96.251269708,0,"0,1,2,3"
baseline,29,122.044671857,122.044671857,0,"0,1,2,3"
prio,29,96.184055067,96.184055067,0,"0,1,2,3"
baseline,30,131.802167831,131.802167831,0,"0,1,2,3"
prio,30,96.315927536,96.315927536,0,"0,1,2,3"
baseline,31,131.309934408,131.309934408,0,"0,1,2,3"
prio,31,96.198554043,96.198554043,0,"0,1,2,3"
baseline,32,121.961367738,121.961367738,0,"0,1,2,3"
prio,32,96.097157033,96.097157033,0,"0,1,2,3"
baseline,33,130.269801183,130.269801183,0,"0,1,2,3"
prio,33,96.160367511,96.160367511,0,"0,1,2,3"
baseline,34,130.671442856,130.671442856,0,"0,1,2,3"
prio,34,96.159882718,96.159882718,0,"0,1,2,3"
baseline,35,124.926613977,124.926613977,0,"0,1,2,3"
prio,35,96.054316539,96.054316539,0,"0,1,2,3"
baseline,36,130.878442879,130.878442879,0,"0,1,2,3"
prio,36,96.200810497,96.200810497,0,"0,1,2,3"
baseline,37,124.064869512,124.064869512,0,"0,1,2,3"
