program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,219.309988415,219.309988415,0,"0,1,2,3"
prio,0,160.406464740,160.406464740,0,"0,1,2,3"
baseline,1,210.084838261,210.084838261,0,"0,1,2,3"
prio,1,160.948155765,160.948155765,0,"0,1,2,3"
baseline,2,214.687589238,214.687589238,0,"0,1,2,3"
prio,2,160.391372637,160.391372637,0,"0,1,2,3"
baseline,3,198.055971231,198.055971231,0,"0,1,2,3"
prio,3,160.773944128,160.773944128,0,"0,1,2,3"
baseline,4,213.975413241,213.975413241,0,"0,1,2,3"
prio,4,160.438936439,160.438936439,0,"0,1,2,3"
