program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,8.564822274,8.564822274,0,"0,1,2,3"
prio,0,6.384326526,6.384326526,0,"0,1,2,3"
baseline,1,8.699912267,8.699912267,0,"0,1,2,3"
prio,1,6.375891735,6.375891735,0,"0,1,2,3"
baseline,2,8.680097898,8.680097898,0,"0,1,2,3"
prio,2,6.387276052,6.387276052,0,"0,1,2,3"
baseline,3,8.618808556,8.618808556,0,"0,1,2,3"
prio,3,6.402809541,6.402809541,0,"0,1,2,3"
baseline,4,8.163888903,8.163888903,0,"0,1,2,3"
prio,4,6.343725613,6.343725613,0,"0,1,2,3"
baseline,5,8.756171004,8.756171004,0,"0,1,2,3"
prio,5,6.360027708,6.360027708,0,"0,1,2,3"
baseline,6,8.724733155,8.724733155,0,"0,1,2,3"
prio,6,6.365450366,6.365450366,0,"0,1,2,3"
baseline,7,8.680380794,8.680380794,0,"0,1,2,3"
prio,7,6.358703861,6.358703861,0,"0,1,2,3"
baseline,8,8.685593382,8.685593382,0,"0,1,2,3"
prio,8,6.331373376,6.331373376,0,"0,1,2,3"
baseline,9,7.938284679,7.938284679,0,"0,1,2,3"
prio,9,6.404530617,6.404530617,0,"0,1,2,3"
baseline,10,7.761901480,7.761901480,0,"0,1,2,3"
prio,10,6.421640676,6.421640676,0,"0,1,2,3"
baseline,11,8.721582753,8.721582753,0,"0,1,2,3"
prio,11,6.399812672,6.399812672,0,"0,1,2,3"
baseline,12,8.033977775,8.033977775,0,"0,1,2,3"
prio,12,6.363956835,6.363956835,0,"0,1,2,3"
baseline,13,8.458548121,8.458548121,0,"0,1,2,3"
prio,13,6.342768997,6.342768997,0,"0,1,2,3"
baseline,14,8.148589874,8.148589874,0,"0,1,2,3"
prio,14,6.405085345,6.405085345,0,"0,1,2,3"
baseline,15,8.432488706,8.432488706,0,"0,1,2,3"
prio,15,6.445069471,6.445069471,0,"0,1,2,3"
baseline,16,8.737673263,8.737673263,0,"0,1,2,3"
prio,16,6.465987603,6.465987603,0,"0,1,2,3"
baseline,17,8.643048666,8.643048666,0,"0,1,2,3"
prio,17,6.411793212,6.411793212,0,"0,1,2,3"
baseline,18,8.304178161,8.304178161,0,"0,1,2,3"
prio,18,6.449074963,6.449074963,0,"0,1,2,3"
baseline,19,7.396072848,7.396072848,0,"0,1,2,3"
prio,19,6.415111817,6.415111817,0,"0,1,2,3"
baseline,20,8.170360630,8.170360630,0,"0,1,2,3"
prio,20,6.452840914,6.452840914,0,"0,1,2,3"
baseline,21,8.512080802,8.512080802,0,"0,1,2,3"
prio,21,6.458454829,6.458454829,0,"0,1,2,3"
baseline,22,8.781520203,8.781520203,0,"0,1,2,3"
prio,22,6.344358156,6.344358156,0,"0,1,2,3"
baseline,23,8.131243633,8.131243633,0,"0,1,2,3"
prio,23,6.403761636,6.403761636,0,"0,1,2,3"
baseline,24,8.704532034,8.704532034,0,"0,1,2,3"
prio,24,6.441370286,6.441370286,0,"0,1,2,3"
