program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.549745140,0.549745140,0,"0,1,2,3"
prio,0,0.518031653,0.518031653,0,"0,1,2,3"
baseline,1,0.537572381,0.537572381,0,"0,1,2,3"
prio,1,0.515964338,0.515964338,0,"0,1,2,3"
baseline,2,0.551415330,0.551415330,0,"0,1,2,3"
prio,2,0.520086950,0.520086950,0,"0,1,2,3"
baseline,3,0.556426233,0.556426233,0,"0,1,2,3"
prio,3,0.518173076,0.518173076,0,"0,1,2,3"
baseline,4,0.530700689,0.530700689,0,"0,1,2,3"
prio,4,0.508525145,0.508525145,0,"0,1,2,3"
baseline,5,0.570286432,0.570286432,0,"0,1,2,3"
prio,5,0.512886872,0.512886872,0,"0,1,2,3"
baseline,6,0.565711593,0.565711593,0,"0,1,2,3"
prio,6,0.511436080,0.511436080,0,"0,1,2,3"
baseline,7,0.546588306,0.546588306,0,"0,1,2,3"
prio,7,0.516253005,0.516253005,0,"0,1,2,3"
baseline,8,0.540149896,0.540149896,0,"0,1,2,3"
prio,8,0.517533215,0.517533215,0,"0,1,2,3"
baseline,9,0.544535358,0.544535358,0,"0,1,2,3"
prio,9,0.524284435,0.524284435,0,"0,1,2,3"
baseline,10,0.521992430,0.521992430,0,"0,1,2,3"
prio,10,0.525473429,0.525473429,0,"0,1,2,3"
baseline,11,0.543225892,0.543225892,0,"0,1,2,3"
prio,11,0.517943121,0.517943121,0,"0,1,2,3"
baseline,12,0.530716919,0.530716919,0,"0,1,2,3"
prio,12,0.534166480,0.534166480,0,"0,1,2,3"
baseline,13,0.549571578,0.549571578,0,"0,1,2,3"
prio,13,0.523053324,0.523053324,0,"0,1,2,3"
baseline,14,0.550861360,0.550861360,0,"0,1,2,3"
prio,14,0.513260196,0.513260196,0,"0,1,2,3"
baseline,15,0.547989163,0.547989163,0,"0,1,2,3"
prio,15,0.519356497,0.519356497,0,"0,1,2,3"
baseline,16,0.545118364,0.545118364,0,"0,1,2,3"
prio,16,0.519138452,0.519138452,0,"0,1,2,3"
baseline,17,0.549454613,0.549454613,0,"0,1,2,3"
prio,17,0.517981715,0.517981715,0,"0,1,2,3"
baseline,18,0.552607143,0.552607143,0,"0,1,2,3"
prio,18,0.515356650,0.515356650,0,"0,1,2,3"
baseline,19,0.557679246,0.557679246,0,"0,1,2,3"
prio,19,0.505369868,0.505369868,0,"0,1,2,3"
baseline,20,0.547704527,0.547704527,0,"0,1,2,3"
prio,20,0.517645079,0.517645079,0,"0,1,2,3"
baseline,21,0.560311823,0.560311823,0,"0,1,2,3"
prio,21,0.516921802,0.516921802,0,"0,1,2,3"
baseline,22,0.547036493,0.547036493,0,"0,1,2,3"
prio,22,0.507203730,0.507203730,0,"0,1,2,3"
baseline,23,0.550715862,0.550715862,0,"0,1,2,3"
prio,23,0.514256727,0.514256727,0,"0,1,2,3"
baseline,24,0.551115319,0.551115319,0,"0,1,2,3"
prio,24,0.512983608,0.512983608,0,"0,1,2,3"
baseline,25,0.514020119,0.514020119,0,"0,1,2,3"
prio,25,0.521314852,0.521314852,0,"0,1,2,3"
baseline,26,0.546345388,0.546345388,0,"0,1,2,3"
prio,26,0.532964672,0.532964672,0,"0,1,2,3"
baseline,27,0.548536612,0.548536612,0,"0,1,2,3"
prio,27,0.520263202,0.520263202,0,"0,1,2,3"
baseline,28,0.525784051,0.525784051,0,"0,1,2,3"
prio,28,0.527857643,0.527857643,0,"0,1,2,3"
baseline,29,0.549468830,0.549468830,0,"0,1,2,3"
prio,29,0.519171128,0.519171128,0,"0,1,2,3"
baseline,30,0.552161400,0.552161400,0,"0,1,2,3"
prio,30,0.518334457,0.518334457,0,"0,1,2,3"
baseline,31,0.552995526,0.552995526,0,"0,1,2,3"
prio,31,0.516600102,0.516600102,0,"0,1,2,3"
baseline,32,0.550863859,0.550863859,0,"0,1,2,3"
prio,32,0.510913601,0.510913601,0,"0,1,2,3"
baseline,33,0.543906083,0.543906083,0,"0,1,2,3"
