program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,8.710314089,8.710314089,0,"0,1,2,3"
prio,0,6.382210263,6.382210263,0,"0,1,2,3"
baseline,1,7.967613181,7.967613181,0,"0,1,2,3"
prio,1,6.458779407,6.458779407,0,"0,1,2,3"
baseline,2,7.886057462,7.886057462,0,"0,1,2,3"
prio,2,6.442526383,6.442526383,0,"0,1,2,3"
baseline,3,8.634951305,8.634951305,0,"0,1,2,3"
prio,3,6.376892304,6.376892304,0,"0,1,2,3"
baseline,4,8.851800552,8.851800552,0,"0,1,2,3"
prio,4,6.382839763,6.382839763,0,"0,1,2,3"
