program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,17.997423733,17.997423733,0,"0,1,2,3"
prio,0,14.794832907,14.794832907,0,"0,1,2,3"
baseline,1,17.943485540,17.943485540,0,"0,1,2,3"
prio,1,12.675942596,12.675942596,0,"0,1,2,3"
baseline,2,17.968015673,17.968015673,0,"0,1,2,3"
prio,2,12.969535489,12.969535489,0,"0,1,2,3"
baseline,3,17.962649837,17.962649837,0,"0,1,2,3"
prio,3,12.763735073,12.763735073,0,"0,1,2,3"
baseline,4,17.992442402,17.992442402,0,"0,1,2,3"
prio,4,14.023236638,14.023236638,0,"0,1,2,3"
baseline,5,17.856639804,17.856639804,0,"0,1,2,3"
prio,5,12.755267056,12.755267056,0,"0,1,2,3"
baseline,6,17.987888893,17.987888893,0,"0,1,2,3"
prio,6,13.016926706,13.016926706,0,"0,1,2,3"
baseline,7,17.892775823,17.892775823,0,"0,1,2,3"
prio,7,14.226741537,14.226741537,0,"0,1,2,3"
baseline,8,18.025158334,18.025158334,0,"0,1,2,3"
prio,8,12.692780192,12.692780192,0,"0,1,2,3"
baseline,9,17.907506992,17.907506992,0,"0,1,2,3"
prio,9,13.180914862,13.180914862,0,"0,1,2,3"
baseline,10,17.925008607,17.925008607,0,"0,1,2,3"
prio,10,12.782704750,12.782704750,0,"0,1,2,3"
baseline,11,17.899215036,17.899215036,0,"0,1,2,3"
prio,11,12.778361298,12.778361298,0,"0,1,2,3"
baseline,12,18.007616177,18.007616177,0,"0,1,2,3"
prio,12,13.236807142,13.236807142,0,"0,1,2,3"
baseline,13,17.917548154,17.917548154,0,"0,1,2,3"
prio,13,12.882555245,12.882555245,0,"0,1,2,3"
baseline,14,17.977502545,17.977502545,0,"0,1,2,3"
prio,14,14.417934397,14.417934397,0,"0,1,2,3"
baseline,15,17.938570459,17.938570459,0,"0,1,2,3"
prio,15,12.861748234,12.861748234,0,"0,1,2,3"
baseline,16,18.057777374,18.057777374,0,"0,1,2,3"
prio,16,12.640962983,12.640962983,0,"0,1,2,3"
baseline,17,17.944976677,17.944976677,0,"0,1,2,3"
prio,17,13.085713503,13.085713503,0,"0,1,2,3"
baseline,18,18.055798028,18.055798028,0,"0,1,2,3"
prio,18,13.726054092,13.726054092,0,"0,1,2,3"
