program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.583000000,1.586124567,1,"0,1,2,3"
prio,0,1.448000000,1.451606032,1,"0,1,2,3"
baseline,1,1.603000000,1.606317362,1,"0,1,2,3"
prio,1,1.448000000,1.450963155,1,"0,1,2,3"
baseline,2,1.577000000,1.580416643,1,"0,1,2,3"
prio,2,1.436000000,1.438771844,1,"0,1,2,3"
baseline,3,1.561000000,1.564052040,1,"0,1,2,3"
prio,3,1.431000000,1.433791410,1,"0,1,2,3"
baseline,4,1.549000000,1.552218801,1,"0,1,2,3"
prio,4,1.445000000,1.447517778,1,"0,1,2,3"
baseline,5,1.551000000,1.553816844,1,"0,1,2,3"
prio,5,1.446000000,1.448845476,1,"0,1,2,3"
baseline,6,1.568000000,1.571225828,1,"0,1,2,3"
prio,6,1.447000000,1.450290259,1,"0,1,2,3"
baseline,7,1.545000000,1.548239359,1,"0,1,2,3"
prio,7,1.455000000,1.458261803,1,"0,1,2,3"
baseline,8,1.594000000,1.597123828,1,"0,1,2,3"
prio,8,1.437000000,1.440606685,1,"0,1,2,3"
baseline,9,1.584000000,1.586831923,1,"0,1,2,3"
prio,9,1.473000000,1.476104091,1,"0,1,2,3"
baseline,10,1.586000000,1.588868487,1,"0,1,2,3"
prio,10,1.490000000,1.493644919,1,"0,1,2,3"
baseline,11,1.569000000,1.572569828,1,"0,1,2,3"
prio,11,1.444000000,1.447157710,1,"0,1,2,3"
baseline,12,1.654000000,1.657069659,1,"0,1,2,3"
prio,12,1.482000000,1.484663447,1,"0,1,2,3"
baseline,13,1.591000000,1.594249892,1,"0,1,2,3"
prio,13,1.450000000,1.453199986,1,"0,1,2,3"
baseline,14,1.553000000,1.556261362,1,"0,1,2,3"
prio,14,1.467000000,1.469529796,1,"0,1,2,3"
baseline,15,1.567000000,1.569837141,1,"0,1,2,3"
prio,15,1.452000000,1.454609513,1,"0,1,2,3"
baseline,16,1.610000000,1.612691441,1,"0,1,2,3"
prio,16,1.430000000,1.433076190,1,"0,1,2,3"
baseline,17,1.569000000,1.571912755,1,"0,1,2,3"
prio,17,1.438000000,1.440849026,1,"0,1,2,3"
baseline,18,1.578000000,1.581294895,1,"0,1,2,3"
prio,18,1.456000000,1.458737974,1,"0,1,2,3"
baseline,19,1.580000000,1.583436369,1,"0,1,2,3"
prio,19,1.429000000,1.431769941,1,"0,1,2,3"
baseline,20,1.583000000,1.585938977,1,"0,1,2,3"
prio,20,1.441000000,1.444018955,1,"0,1,2,3"
baseline,21,1.530000000,1.532630813,1,"0,1,2,3"
prio,21,1.447000000,1.449997294,1,"0,1,2,3"
baseline,22,1.516000000,1.519584827,1,"0,1,2,3"
prio,22,1.445000000,1.447702408,1,"0,1,2,3"
baseline,23,1.526000000,1.531459071,1,"0,1,2,3"
prio,23,1.442000000,1.444982221,1,"0,1,2,3"
baseline,24,1.563000000,1.565558237,1,"0,1,2,3"
prio,24,1.454000000,1.457178144,1,"0,1,2,3"
baseline,25,1.569000000,1.571917585,1,"0,1,2,3"
prio,25,1.454000000,1.457394878,1,"0,1,2,3"
baseline,26,1.555000000,1.558161225,1,"0,1,2,3"
prio,26,1.443000000,1.446143679,1,"0,1,2,3"
baseline,27,1.559000000,1.561842038,1,"0,1,2,3"
prio,27,1.435000000,1.438311874,1,"0,1,2,3"
baseline,28,1.558000000,1.562014934,1,"0,1,2,3"
prio,28,1.446000000,1.449347791,1,"0,1,2,3"
baseline,29,1.582000000,1.584454667,1,"0,1,2,3"
prio,29,1.514000000,1.516861493,1,"0,1,2,3"
baseline,30,1.595000000,1.598391395,1,"0,1,2,3"
prio,30,1.440000000,1.442986655,1,"0,1,2,3"
baseline,31,1.579000000,1.581449191,1,"0,1,2,3"
prio,31,1.437000000,1.440259513,1,"0,1,2,3"
baseline,32,1.627000000,1.630470415,1,"0,1,2,3"
prio,32,1.455000000,1.458087040,1,"0,1,2,3"
baseline,33,1.591000000,1.594423157,1,"0,1,2,3"
prio,33,1.440000000,1.443254600,1,"0,1,2,3"
baseline,34,1.569000000,1.572028866,1,"0,1,2,3"
prio,34,1.442000000,1.445448631,1,"0,1,2,3"
baseline,35,1.541000000,1.543964297,1,"0,1,2,3"
prio,35,1.433000000,1.436440435,1,"0,1,2,3"
baseline,36,1.580000000,1.582894423,1,"0,1,2,3"
prio,36,1.457000000,1.460129533,1,"0,1,2,3"
baseline,37,1.495000000,1.498076737,1,"0,1,2,3"
prio,37,1.446000000,1.448588160,1,"0,1,2,3"
baseline,38,1.561000000,1.563863158,1,"0,1,2,3"
prio,38,1.438000000,1.441047950,1,"0,1,2,3"
baseline,39,1.562000000,1.565262547,1,"0,1,2,3"
prio,39,1.450000000,1.452457427,1,"0,1,2,3"
baseline,40,1.580000000,1.583286335,1,"0,1,2,3"
prio,40,1.455000000,1.457859806,1,"0,1,2,3"
baseline,41,1.547000000,1.549895388,1,"0,1,2,3"
prio,41,1.448000000,1.450827741,1,"0,1,2,3"
baseline,42,1.588000000,1.591168563,1,"0,1,2,3"
prio,42,1.431000000,1.434486738,1,"0,1,2,3"
baseline,43,1.552000000,1.554464483,1,"0,1,2,3"
prio,43,1.440000000,1.442593172,1,"0,1,2,3"
baseline,44,1.516000000,1.518798378,1,"0,1,2,3"
prio,44,1.498000000,1.500233124,1,"0,1,2,3"
baseline,45,1.566000000,1.569485107,1,"0,1,2,3"
prio,45,1.461000000,1.464347580,1,"0,1,2,3"
baseline,46,1.538000000,1.541055922,1,"0,1,2,3"
prio,46,1.438000000,1.441148922,1,"0,1,2,3"
baseline,47,1.603000000,1.606432425,1,"0,1,2,3"
prio,47,1.434000000,1.437298111,1,"0,1,2,3"
baseline,48,1.582000000,1.585307251,1,"0,1,2,3"
prio,48,1.433000000,1.436279728,1,"0,1,2,3"
baseline,49,1.592000000,1.595145719,1,"0,1,2,3"
prio,49,1.448000000,1.450855662,1,"0,1,2,3"
