program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,86.386098767,86.386098767,0,"0,1,2,3"
prio,0,64.855768298,64.855768298,0,"0,1,2,3"
baseline,1,75.831344667,75.831344667,0,"0,1,2,3"
prio,1,64.391109487,64.391109487,0,"0,1,2,3"
baseline,2,76.313859556,76.313859556,0,"0,1,2,3"
prio,2,64.250594932,64.250594932,0,"0,1,2,3"
baseline,3,86.907374285,86.907374285,0,"0,1,2,3"
prio,3,64.635534098,64.635534098,0,"0,1,2,3"
baseline,4,87.275478260,87.275478260,0,"0,1,2,3"
prio,4,64.016131479,64.016131479,0,"0,1,2,3"
