program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,5.002478208,5.002478208,0,"4,5,6,7"
prio,0,3.605895280,3.605895280,0,"4,5,6,7"
baseline,1,4.718050769,4.718050769,0,"4,5,6,7"
prio,1,3.503411552,3.503411552,0,"4,5,6,7"
baseline,2,4.912737380,4.912737380,0,"4,5,6,7"
prio,2,3.251098879,3.251098879,0,"4,5,6,7"
baseline,3,4.394899914,4.394899914,0,"4,5,6,7"
prio,3,3.188932128,3.188932128,0,"4,5,6,7"
baseline,4,4.090417136,4.090417136,0,"4,5,6,7"
prio,4,3.221117137,3.221117137,0,"4,5,6,7"
