program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,261.170804033,261.170804033,0,"0,1,2,3"
prio,0,192.838508983,192.838508983,0,"0,1,2,3"
baseline,1,258.124990259,258.124990259,0,"0,1,2,3"
prio,1,193.003472336,193.003472336,0,"0,1,2,3"
baseline,2,259.304391079,259.304391079,0,"0,1,2,3"
prio,2,192.471454710,192.471454710,0,"0,1,2,3"
baseline,3,261.691648783,261.691648783,0,"0,1,2,3"
prio,3,192.746661394,192.746661394,0,"0,1,2,3"
baseline,4,254.103633987,254.103633987,0,"0,1,2,3"
prio,4,192.614938473,192.614938473,0,"0,1,2,3"
baseline,5,259.060140277,259.060140277,0,"0,1,2,3"
prio,5,192.770934100,192.770934100,0,"0,1,2,3"
baseline,6,260.379218403,260.379218403,0,"0,1,2,3"
prio,6,192.530414743,192.530414743,0,"0,1,2,3"
baseline,7,247.914952820,247.914952820,0,"0,1,2,3"
prio,7,195.595524879,195.595524879,0,"0,1,2,3"
baseline,8,258.998434871,258.998434871,0,"0,1,2,3"
prio,8,192.950870984,192.950870984,0,"0,1,2,3"
baseline,9,255.092450741,255.092450741,0,"0,1,2,3"
prio,9,192.615981229,192.615981229,0,"0,1,2,3"
baseline,10,234.710100044,234.710100044,0,"0,1,2,3"
prio,10,192.259428997,192.259428997,0,"0,1,2,3"
baseline,11,260.908656039,260.908656039,0,"0,1,2,3"
prio,11,192.890048498,192.890048498,0,"0,1,2,3"
baseline,12,250.665487835,250.665487835,0,"0,1,2,3"
prio,12,192.392279625,192.392279625,0,"0,1,2,3"
baseline,13,257.532450278,257.532450278,0,"0,1,2,3"
prio,13,192.687085747,192.687085747,0,"0,1,2,3"
baseline,14,261.381424948,261.381424948,0,"0,1,2,3"
prio,14,192.433783623,192.433783623,0,"0,1,2,3"
baseline,15,255.817368580,255.817368580,0,"0,1,2,3"
prio,15,192.548040207,192.548040207,0,"0,1,2,3"
baseline,16,260.867763185,260.867763185,0,"0,1,2,3"
prio,16,192.661278073,192.661278073,0,"0,1,2,3"
baseline,17,235.092755003,235.092755003,0,"0,1,2,3"
prio,17,192.889957562,192.889957562,0,"0,1,2,3"
baseline,18,261.906896430,261.906896430,0,"0,1,2,3"
prio,18,192.723440138,192.723440138,0,"0,1,2,3"
baseline,19,260.635939211,260.635939211,0,"0,1,2,3"
prio,19,192.678471742,192.678471742,0,"0,1,2,3"
baseline,20,255.601565890,255.601565890,0,"0,1,2,3"
prio,20,192.633625443,192.633625443,0,"0,1,2,3"
baseline,21,249.715018950,249.715018950,0,"0,1,2,3"
prio,21,192.498518502,192.498518502,0,"0,1,2,3"
baseline,22,250.196563815,250.196563815,0,"0,1,2,3"
prio,22,192.527931707,192.527931707,0,"0,1,2,3"
baseline,23,264.445795845,264.445795845,0,"0,1,2,3"
prio,23,193.013845838,193.013845838,0,"0,1,2,3"
baseline,24,241.756589611,241.756589611,0,"0,1,2,3"
prio,24,192.991285591,192.991285591,0,"0,1,2,3"
baseline,25,248.919336071,248.919336071,0,"0,1,2,3"
prio,25,192.569264878,192.569264878,0,"0,1,2,3"
baseline,26,253.544895390,253.544895390,0,"0,1,2,3"
prio,26,192.845375127,192.845375127,0,"0,1,2,3"
baseline,27,257.461709842,257.461709842,0,"0,1,2,3"
prio,27,193.484800359,193.484800359,0,"0,1,2,3"
baseline,28,266.059161211,266.059161211,0,"0,1,2,3"
prio,28,192.361755395,192.361755395,0,"0,1,2,3"
baseline,29,261.882385023,261.882385023,0,"0,1,2,3"
prio,29,192.571723777,192.571723777,0,"0,1,2,3"
baseline,30,263.580389640,263.580389640,0,"0,1,2,3"
prio,30,193.615703776,193.615703776,0,"0,1,2,3"
baseline,31,262.363743820,262.363743820,0,"0,1,2,3"
prio,31,192.171942015,192.171942015,0,"0,1,2,3"
baseline,32,248.735784504,248.735784504,0,"0,1,2,3"
prio,32,192.132841237,192.132841237,0,"0,1,2,3"
baseline,33,254.934818341,254.934818341,0,"0,1,2,3"
prio,33,192.748415700,192.748415700,0,"0,1,2,3"
baseline,34,248.134348903,248.134348903,0,"0,1,2,3"
prio,34,192.703404604,192.703404604,0,"0,1,2,3"
baseline,35,233.848519056,233.848519056,0,"0,1,2,3"
prio,35,192.874486184,192.874486184,0,"0,1,2,3"
baseline,36,243.548788551,243.548788551,0,"0,1,2,3"
