program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,42.902965339,42.902965339,0,"0,1,2,3"
prio,0,32.478532808,32.478532808,0,"0,1,2,3"
baseline,1,44.189739942,44.189739942,0,"0,1,2,3"
prio,1,32.333052009,32.333052009,0,"0,1,2,3"
baseline,2,43.756673976,43.756673976,0,"0,1,2,3"
prio,2,32.203814193,32.203814193,0,"0,1,2,3"
baseline,3,43.810963163,43.810963163,0,"0,1,2,3"
prio,3,32.252910649,32.252910649,0,"0,1,2,3"
baseline,4,43.616097583,43.616097583,0,"0,1,2,3"
prio,4,32.301181356,32.301181356,0,"0,1,2,3"
