program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.940561790,0.940561790,0,"0,1,2,3"
prio,0,0.728403183,0.728403183,0,"0,1,2,3"
baseline,1,0.999942949,0.999942949,0,"0,1,2,3"
prio,1,0.757645286,0.757645286,0,"0,1,2,3"
baseline,2,1.058520529,1.058520529,0,"0,1,2,3"
prio,2,0.775916319,0.775916319,0,"0,1,2,3"
baseline,3,0.835733928,0.835733928,0,"0,1,2,3"
prio,3,0.650800854,0.650800854,0,"0,1,2,3"
baseline,4,0.912306920,0.912306920,0,"0,1,2,3"
prio,4,0.704152629,0.704152629,0,"0,1,2,3"
